fleet_id,record_type,timestamp,elapsed_time,trigger_channel,peak_valley_indicator,strain_gauge_1,strain_gauge_2,strain_gauge_3,strain_gauge_4,strain_gauge_5,strain_gauge_6,strain_gauge_7,strain_gauge_8,roll_acceleration,vertical_acceleration,airspeed,pressure_altitude,flap_position,elevator_position,left_aileron_position,retardant_tank_float,retardant_door_open,beacon_start_stop_recording,arm_retardant_tank_door,gear_up_and_locked,flight_id
1,PE,49:32.2,14.18,,,-2.96,-11.84,-14.81,0,-5.92,-5.92,11.84,8.88,-0.87,1,54.2,1047.27,15.15,-7.36,0.36,-3.68,1,0,0,0,101
2,PE,49:47.2,29.18,,,-5.92,-5.92,-14.81,-5.92,-8.88,-8.88,5.92,11.84,-0.88,1,,1047.27,15.14,-7.31,0.36,-5.26,1,0,0,0,101
3,PE,50:02.2,44.18,,,-8.88,-2.96,-17.77,-8.88,-8.88,-8.88,11.84,11.84,-0.89,1.01,54.2,992.58,0,-7.31,0.33,-2.11,1,0,0,0,101
4,PE,50:17.2,59.18,,,-5.92,-11.84,-14.81,-11.84,-8.88,-5.92,11.84,11.84,-0.89,1.01,53.93,1047.27,0,-7.31,0.42,-6.83,1,0,0,0,101
5,PE,50:32.2,74.18,,,-8.88,-11.84,-17.77,-8.88,-8.88,-8.88,11.84,11.84,-0.88,1,53.65,1019.92,-0.03,-7.33,0.42,-3.68,1,0,0,0,101
6,PE,50:47.2,89.18,,,-5.92,-11.84,-17.77,-14.81,-8.88,-8.88,11.84,11.84,-0.9,1,54.75,1047.27,0,-7.31,0.39,-5.26,1,0,0,0,101
7,PE,51:02.2,104.18,,,-11.84,-11.84,-20.73,-11.84,-11.84,-8.88,11.84,11.84,-0.87,1,53.93,1074.61,-0.01,-7.36,0.42,-6.83,1,0,0,0,101
8,PE,51:17.2,119.18,,,-5.92,-11.84,-17.77,-14.81,-5.92,-8.88,5.92,14.81,-0.89,1.01,54.48,1074.61,0,-7.33,0.33,-3.68,1,1,0,0,101
9,PE,51:32.2,134.18,,,-14.81,-11.84,-20.73,-11.84,-8.88,-8.88,11.84,14.81,-0.88,1.01,53.93,1019.92,-0.01,-7.31,0.45,-2.11,1,1,0,0,101
10,PE,51:47.2,149.18,,,-8.88,-5.92,-23.69,-11.84,-11.84,-8.88,11.84,11.84,-0.88,0.99,53.93,1129.3,-0.01,-7.28,0.42,-8.4,1,1,0,0,101
