fleet_id,record_type,timestamp,elapsed_time,trigger_channel,peak_valley_indicator,strain_gauge_1,strain_gauge_2,strain_gauge_3,strain_gauge_4,strain_gauge_5,strain_gauge_6,strain_gauge_7,strain_gauge_8,strain_gauge_9,roll_acceleration,vertical_acceleration,airspeed,pressure_altitude,flap_position,elevator_position,left_aileron_position,beacon_start_stop_recording,gear_up_and_locked,flight_id
20000,PE,06:21.8,14.8,,,331.65,-8895.44,-65.15,7497.76,0,1154.87,-11.84,-8.88,-14.81,-0.03,1,56.76,-450.3,0.23,-2.08,2.91,1,0,201
20001,PE,06:36.8,29.8,,,337.58,-8895.44,-68.11,7447.42,0,1151.91,-11.84,-8.88,-8.88,-0.07,0.99,57.38,-450.3,0.23,-2.02,2.94,1,0,201
20002,PE,06:51.8,44.8,,,343.5,-8895.44,-62.19,7488.87,0,1154.87,-11.84,-11.84,-8.88,-0.04,0.99,56.76,-396.05,0.22,-2.1,2.91,1,0,201
20003,PE,07:06.8,59.8,,,334.62,-8895.44,-62.19,7456.3,0,1157.83,-11.84,-11.84,-8.88,-0.04,0.98,57.07,-396.05,0.23,-2.02,3.03,1,0,201
20004,PE,07:21.8,74.8,,,337.58,-8895.44,-59.22,7441.5,0,1157.83,-8.88,-8.88,-5.92,0.01,0.98,55.22,-368.92,0.23,-2.1,2.97,1,0,201
20005,PE,07:36.8,89.8,,,337.58,-8895.44,-62.19,7482.95,0,1160.79,-5.92,-8.88,-8.88,0,0.99,57.07,-450.3,0.25,-2.13,2.91,1,0,201
20006,PE,07:51.8,104.8,,,337.58,-8658.55,-62.19,7524.41,0,1154.87,-5.92,-8.88,-8.88,-0.01,0.99,56.15,-368.92,0.19,-2.1,2.73,1,0,201
20007,PE,08:06.8,119.8,,,340.54,-8380.2,-59.22,7497.76,0,1157.83,-11.84,-8.88,-8.88,0.01,0.99,56.76,-477.43,0.23,-2.08,2.73,1,0,201
20008,TR,08:19.2,132.23,11,P,322.77,-8027.81,-76.99,7536.25,0,1145.98,-14.81,-11.84,-8.88,0.05,1.05,58,-450.3,0.19,-2.1,2.85,1,0,201
20009,PE,08:21.8,134.8,,,331.65,-7897.52,-62.19,7574.75,0,1163.75,-5.92,-11.84,-11.84,-0.02,0.99,57.38,-504.56,0.21,-2.1,2.91,1,0,201
20010,TR,08:24.7,137.73,11,V,322.77,-7885.68,-76.99,7577.71,0,1151.91,2.96,-20.73,-8.88,-0.1,0.92,58,-423.18,0.22,-2.13,2.94,1,0,201
20011,TR,08:25.7,138.73,11,P,316.85,-8042.62,-59.22,7554.02,0,1145.98,11.84,-17.77,-5.92,-0.14,1.08,57.38,-450.3,0.23,-2.08,2.91,1,0,201
20012,TR,08:26.2,139.18,11,V,322.77,-7992.28,-62.19,7562.9,0,1154.87,5.92,-14.81,-17.77,-0.09,0.92,57.38,-450.3,0.22,-2.08,2.85,1,0,201
20013,TR,08:26.8,139.76,11,P,334.62,-8092.96,-71.07,7554.02,0,1178.56,-11.84,-14.81,-8.88,-0.04,1.04,57.38,-450.3,0.19,-2.02,2.85,1,0,201
20014,TR,08:30.0,143.03,11,V,316.85,-8010.05,-91.8,7479.99,0,1246.67,-5.92,-8.88,-17.77,0.01,0.93,57.69,-450.3,0.21,-2.1,2.85,1,0,201
20015,TR,08:32.5,145.46,11,P,310.93,-7927.13,-56.26,7367.47,0,1270.35,-8.88,-20.73,-11.84,-0.11,1.05,57.07,-423.18,0.22,-2.08,2.79,1,0,201
20016,PE,08:36.8,149.8,,,299.08,-7873.83,-62.19,7423.73,0,1255.55,-20.73,-8.88,-20.73,0.05,0.98,56.76,-450.3,0.23,-2.08,2.85,1,0,201
20017,TR,08:39.5,152.51,11,V,293.16,-7524.41,-65.15,7491.84,0,1273.32,-5.92,-14.81,-14.81,-0.01,0.93,56.46,-477.43,0.23,-2.13,2.88,1,0,201
20018,TR,08:39.7,152.71,11,P,307.96,-7642.86,-59.22,7497.76,0,1279.24,-11.84,-11.84,-14.81,-0.02,1.06,56.15,-450.3,0.22,-2.1,2.85,1,0,201
20019,TR,08:41.3,154.28,11,V,299.08,-7936.02,-71.07,7482.95,0,1279.24,2.96,-11.84,-11.84,0.02,0.93,56.15,-423.18,0.23,-2.1,2.85,1,0,201
20020,TR,08:50.3,163.26,11,P,316.85,-7631.01,-53.3,7551.06,0,1279.24,-5.92,-11.84,-8.88,-0.05,1.06,56.46,-477.43,14.12,-2.08,2.91,1,0,201
20021,PE,08:51.8,164.8,,,310.93,-7488.87,-68.11,7565.87,0,1258.51,-5.92,-8.88,-17.77,0.05,0.97,56.46,-477.43,15.34,-2.08,2.94,1,0,201
20022,PE,09:06.8,179.8,,,296.12,-7109.84,-62.19,7625.09,0,1261.47,-5.92,-2.96,-20.73,-0.06,0.98,57.38,-423.18,15.34,-2.02,2.91,1,0,201
20023,TR,09:21.0,193.96,11,V,310.93,-6944.01,-71.07,7633.97,0,1264.43,17.77,-11.84,-17.77,0.12,0.92,56.76,-396.05,15.36,-2.18,2.85,1,0,201
20024,TR,09:21.2,194.16,11,P,331.65,-6926.25,-68.11,7625.09,0,1252.59,-29.61,-14.81,-14.81,0.07,1.04,56.15,-477.43,15.34,-2.08,2.82,1,0,201
20025,PE,09:21.8,194.8,,,319.81,-6890.71,-71.07,7639.9,0,1255.55,-23.69,-11.84,-11.84,-0.07,0.99,56.76,-504.56,15.33,-2.08,2.91,1,0,201
20026,TR,09:21.8,194.83,11,V,325.73,-6961.78,-82.91,7642.86,0,1270.35,0,-5.92,-17.77,-0.05,0.93,56.76,-504.56,15.33,-2.08,2.85,1,0,201
20027,TR,09:22.5,195.51,11,P,328.69,-6938.09,-68.11,7636.93,0,1243.7,-41.46,-8.88,-14.81,-0.02,1.03,56.76,-396.05,15.34,-2.08,2.82,1,0,201
20028,TR,09:22.7,195.73,11,V,325.73,-6914.4,-71.07,7651.74,0,1261.47,8.88,-5.92,-29.61,0.1,0.93,57.07,-396.05,15.36,-2.13,2.85,1,0,201
20029,TR,09:22.9,195.93,11,P,325.73,-6899.6,-76.99,7645.82,0,1258.51,-26.65,-11.84,-14.81,0.12,1.04,57.69,-477.43,15.34,-2.02,2.91,1,0,201
20030,TR,09:23.2,196.16,11,V,328.69,-6982.51,-71.07,7660.62,0,1270.35,14.81,-5.92,-29.61,-0.08,0.93,57.38,-450.3,15.34,-2.13,2.85,1,0,201
20031,TR,09:23.6,196.56,11,P,325.73,-6985.47,-71.07,7651.74,0,1264.43,-26.65,-11.84,-14.81,-0.14,1.04,56.76,-477.43,15.36,-2,2.85,1,0,201
20032,TR,09:23.6,196.61,11,V,337.58,-6926.25,-65.15,7651.74,0,1270.35,8.88,-5.92,-23.69,-0.02,0.92,56.76,-450.3,15.36,-2.02,2.91,1,0,201
20033,TR,09:24.3,197.26,11,P,325.73,-7059.5,-82.91,7636.93,0,1252.59,-32.57,-17.77,-14.81,0.08,1.04,57.38,-423.18,15.34,-2.08,2.82,1,0,201
20034,TR,09:25.1,198.08,11,V,307.96,-6834.45,-76.99,7631.01,0,1267.39,29.61,-8.88,-17.77,-0.08,0.93,57.07,-450.3,15.34,-2.1,2.88,1,0,201
